period,term,sex,age_range_start,age_range_end
13-01,苦,女性,50,54
13-01,独,女性,45,49
13-01,耐,男性,50,54
13-01,新,男性,35,39
13-01,忍,女性,55,59
13-01,健,女性,45,49
13-01,淡,男性,65,69
13-01,充,女性,55,59
13-01,節,女性,55,59
13-01,楽,女性,55,59
13-01,忙,女性,50,54
13-01,暗,男性,45,49
13-01,楽,女性,40,44
13-01,耐,女性,60,64
13-01,1,女性,35,39
13-01,自,女性,40,44
13-01,歩,男性,40,44
13-01,新,女性,30,34
13-01,良,女性,70,74
13-01,a,男性,35,39
13-01,貧,女性,50,54
13-01,鉄,男性,45,49
13-01,忍,男性,40,44
13-01,凡,女性,60,64
13-01,低,女性,40,44
13-01,満,女性,45,49
13-01,忍,男性,50,54
13-01,驚,男性,45,49
13-01,寒,女性,45,49
13-01,楽,女性,55,59
13-01,普,男性,75,79
13-01,忍,女性,45,49
13-01,節,男性,50,54
13-01,学,男性,55,59
13-01,並,女性,55,59
13-01,乱,男性,40,44
13-01,忙,女性,40,44
13-01,並,女性,35,39
13-01,同,女性,55,59
13-01,節,女性,50,54
13-01,忙,女性,45,49
13-01,忙,女性,45,49
13-01,並,女性,40,44
13-01,耐,女性,65,69
13-01,辛,女性,40,44
13-01,暖,男性,50,54
13-01,寒,男性,50,54
13-01,寒,女性,50,54
13-01,忙,男性,45,49
13-01,寒,女性,45,49
13-01,嬉,男性,45,49
13-01,旅,男性,60,64
13-01,然,女性,60,64
13-01,良,女性,50,54
13-01,楽,女性,60,64
13-01,舞,女性,50,54
13-01,疲,女性,40,44
13-01,希,女性,55,59
13-01,寒,男性,35,39
13-01,厳,男性,40,44
13-01,忙,女性,35,39
13-01,苦,男性,65,69
13-01,平,女性,40,44
13-01,疲,男性,35,39
13-01,寒,女性,65,69
13-01,耐,男性,40,44
13-01,逆,男性,40,44
13-01,下,男性,40,44
13-01,同,男性,35,39
13-01,安,女性,40,44
13-01,節,女性,45,49
13-01,苦,女性,55,59
13-01,控,女性,40,44
13-01,平,女性,55,59
13-01,悲,女性,55,59
13-01,普,女性,45,49
13-01,寒,男性,65,69
13-01,忙,女性,65,69
13-01,常,女性,30,34
13-01,金,男性,30,34
13-01,平,女性,60,64
13-01,敏,女性,50,54
13-01,普,男性,60,64
13-01,省,男性,35,39
13-01,静,女性,55,59
13-01,減,女性,55,59
13-01,同,女性,50,54
13-01,平,男性,45,49
13-01,進,女性,40,44
13-01,常,女性,40,44
13-01,辛,男性,40,44
13-01,控,女性,40,44
13-01,感,男性,70,74
13-01,山,男性,35,39
13-01,頑,男性,55,59
13-01,素,女性,40,44
13-01,寒,男性,50,54
13-01,駄,男性,50,54
13-01,努,女性,70,74
13-01,静,女性,45,49
13-01,減,女性,40,44
13-01,寒,男性,30,34
13-01,考,女性,50,54
13-01,素,女性,50,54
13-01,忙,男性,50,54
13-01,家,女性,50,54
13-01,寒,女性,35,39
13-01,素,男性,30,34
13-01,豊,女性,60,64
13-01,心,男性,65,69
13-01,粛,女性,45,49
13-01,家,女性,55,59
13-01,寒,男性,40,44
13-01,凍,女性,55,59
13-01,寂,女性,30,34
13-01,寂,女性,40,44
13-01,同,女性,60,64
13-01,変,男性,45,49
13-01,変,男性,50,54
13-01,素,男性,45,49
13-01,待,女性,55,59
13-01,節,男性,55,59
13-01,忙,女性,45,49
13-01,無,女性,35,39
13-01,平,女性,45,49
13-01,普,男性,50,54
13-01,堅,男性,70,74
13-01,忙,男性,40,44
13-01,寒,女性,55,59
13-01,平,女性,50,54
13-01,常,女性,70,74
13-01,寒,男性,45,49
13-01,苦,男性,60,64
13-01,忙,女性,50,54
13-01,忙,男性,45,49
13-01,静,女性,45,49
13-01,慎,女性,50,54
13-01,休,男性,35,39
13-01,節,女性,40,44
13-01,平,男性,35,39
13-01,忙,女性,45,49
13-01,忙,女性,45,49
13-01,穏,女性,45,49
13-01,貧,男性,45,49
13-01,楽,女性,60,64
13-01,平,女性,40,44
13-01,厳,男性,40,44
13-01,樂,女性,65,69
13-01,楽,女性,40,44
13-01,静,女性,35,39
13-01,寒,男性,45,49
13-01,怒,男性,55,59
13-01,耐,男性,55,59
13-01,明,男性,60,64
13-01,忙,女性,50,54
13-01,楽,女性,50,54
13-01,穏,男性,55,59
13-01,楽,女性,40,44
13-01,平,女性,40,44
13-01,貧,女性,60,64
13-01,寒,男性,50,54
13-01,忙,女性,55,59
13-01,笑,女性,40,44
13-01,耐,女性,50,54
13-01,普,女性,55,59
13-01,平,女性,60,64
13-01,賢,女性,50,54
13-01,実,男性,40,44
13-01,流,男性,50,54
13-01,忙,男性,45,49
13-01,悠,女性,65,69
13-01,豊,女性,40,44
13-01,改,男性,35,39
13-01,並,女性,55,59
13-01,忙,女性,35,39
13-01,控,男性,45,49
13-01,忍,男性,40,44
13-01,堅,女性,45,49
13-01,忙,女性,40,44
13-01,楽,女性,50,54
13-01,締,女性,40,44
13-01,忙,女性,45,49
13-01,楽,男性,55,59
13-01,費,女性,45,49
13-01,幸,女性,30,34
13-01,寒,女性,50,54
13-01,贅,女性,25,29
13-01,同,女性,60,64
13-01,忙,女性,40,44
13-01,豊,男性,45,49
13-01,並,女性,40,44
13-01,寒,男性,40,44
13-01,穏,男性,45,49
13-01,静,女性,60,64
13-01,不,女性,45,49
13-01,良,女性,65,69
13-01,平,男性,65,69
13-01,忙,女性,50,54
13-01,慌,女性,40,44
13-01,耐,男性,60,64
13-01,待,女性,45,49
13-01,普,女性,35,39
13-01,忙,女性,50,54
13-01,苦,女性,40,44
13-01,忙,女性,45,49
13-01,繰,女性,50,54
13-01,寂,男性,45,49
13-01,減,男性,30,34
13-01,寒,女性,40,44
13-01,常,男性,50,54
13-01,普,女性,30,34
13-01,待,女性,40,44
13-01,諦,男性,55,59
13-01,寒,男性,60,64
13-01,寒,男性,45,49
13-01,寒,男性,25,29
13-01,買,女性,35,39
13-01,考,男性,50,54
13-01,楽,女性,30,34
13-01,静,男性,40,44
13-01,美,女性,50,54
13-01,苦,女性,35,39
13-01,心,男性,65,69
13-01,忙,女性,45,49
13-01,挑,男性,60,64
13-01,忍,男性,60,64
13-01,幸,女性,40,44
13-01,前,女性,50,54
13-01,苦,男性,40,44
13-01,削,女性,55,59
13-01,忙,男性,35,39
13-01,豊,女性,70,74
13-01,厳,女性,50,54
13-01,平,男性,70,74
13-01,忙,女性,40,44
13-01,忍,男性,55,59
13-01,忙,男性,30,34
13-01,速,女性,50,54
13-01,忙,女性,45,49
13-01,苦,女性,35,39
13-01,忙,女性,30,34
13-01,楽,女性,40,44
13-01,素,女性,40,44
13-01,忙,女性,50,54
13-01,忍,女性,75,79
13-01,寒,女性,35,39
13-01,苦,女性,40,44
13-01,控,女性,35,39
13-01,疲,女性,35,39
13-01,常,女性,55,59
13-01,同,女性,50,54
13-01,少,男性,50,54
13-01,無,男性,45,49
13-01,並,女性,60,64
13-01,実,女性,40,44
13-01,流,女性,45,49
13-01,忙,女性,50,54
13-01,食,女性,65,69
13-01,貧,女性,45,49
13-01,忍,男性,65,69
13-01,動,女性,50,54
13-01,楽,男性,45,49
13-01,平,女性,40,44
13-01,楽,女性,25,29
13-01,生,男性,60,64
13-01,忍,女性,55,59
13-01,忙,女性,50,54
13-01,平,女性,50,54
13-01,忍,女性,50,54
13-01,愛,男性,40,44
13-01,地,女性,40,44
13-01,厳,男性,70,74
13-01,旅,女性,55,59
13-01,和,女性,50,54
13-01,力,女性,50,54
13-01,厳,男性,40,44
13-01,休,女性,40,44
13-01,痛,男性,60,64
13-01,幸,女性,30,34
13-01,進,女性,50,54
13-01,早,男性,60,64
13-01,出,男性,45,49
13-01,低,女性,40,44
13-01,楽,女性,55,59
13-01,忙,女性,60,64
13-01,耐,女性,55,59
13-01,保,女性,60,64
13-01,和,女性,45,49
13-01,厳,男性,50,54
13-01,節,女性,30,34
13-01,守,女性,30,34
13-01,耐,女性,50,54
13-01,節,女性,55,59
13-01,普,女性,45,49
13-01,健,男性,60,64
13-01,変,女性,40,44
13-01,堅,女性,45,49
13-01,忙,女性,45,49
13-01,普,男性,35,39
13-01,忍,女性,65,69
13-01,旧,男性,60,64
13-01,保,男性,40,44
13-01,走,男性,30,34
13-01,忙,女性,35,39
13-01,友,男性,65,69
13-01,忙,女性,40,44
13-01,忙,女性,35,39
13-01,怒,男性,70,74
13-01,譲,男性,75,79
13-01,紡,男性,70,74
13-01,常,男性,60,64
13-01,平,女性,40,44
13-01,凡,女性,50,54
13-01,楽,女性,50,54
13-01,和,女性,45,49
13-01,成,男性,35,39
13-01,優,女性,50,54
13-01,忙,女性,40,44
13-01,楽,女性,65,69
13-01,和,女性,55,59
13-01,健,女性,35,39
13-01,倹,女性,65,69
13-01,忙,女性,60,64
13-01,増,女性,35,39
13-01,忍,男性,60,64
13-01,同,女性,40,44
13-01,凡,男性,55,59
13-01,苦,女性,65,69
13-01,忙,男性,60,64
13-01,考,女性,35,39
13-01,控,女性,45,49
13-01,普,男性,50,54
13-01,平,女性,45,49
13-01,忙,女性,40,44
13-01,乱,女性,60,64
13-01,厳,女性,35,39
13-01,忍,男性,50,54
13-01,始,女性,35,39
13-01,耐,女性,50,54
13-01,増,女性,45,49
13-01,負,女性,40,44
13-01,忙,女性,50,54
13-01,試,女性,40,44
13-01,忍,女性,55,59
13-01,待,男性,45,49
13-01,暇,男性,35,39
13-01,並,男性,70,74
13-01,悲,女性,30,34
13-01,区,女性,45,49
13-01,常,女性,45,49
13-01,忍,女性,50,54
13-01,普,男性,50,54
13-01,冷,女性,45,49
13-01,忙,女性,35,39
13-01,節,女性,35,39
13-01,低,男性,65,69
13-01,堅,女性,45,49
13-01,怒,女性,40,44
13-01,暗,女性,75,79
13-01,忍,女性,50,54
13-01,忙,女性,60,64
13-01,望,女性,60,64
13-01,憂,男性,65,69
13-01,疲,男性,70,74
13-01,耐,女性,40,44
13-01,省,男性,65,69
13-01,穏,女性,60,64
13-01,騒,女性,50,54
13-01,節,女性,65,69
13-01,普,女性,45,49
13-01,冷,女性,55,59
13-01,苦,女性,40,44
13-01,忙,女性,40,44
13-01,忍,女性,45,49
13-01,苦,男性,60,64
13-01,常,女性,25,29
13-01,厳,女性,45,49
13-01,忙,女性,45,49
13-01,健,男性,65,69
13-01,寒,女性,40,44
13-01,変,男性,35,39
13-01,哀,女性,55,59
13-01,忙,女性,55,59
13-01,冷,女性,40,44
13-01,平,女性,65,69
13-01,寒,女性,65,69
13-01,穏,男性,40,44
13-01,捨,女性,35,39
13-01,痩,男性,30,34
13-01,早,男性,30,34
13-01,節,男性,60,64
13-01,淡,男性,70,74
13-01,窮,女性,40,44
13-01,忙,男性,35,39
13-01,寒,女性,30,34
13-01,慌,女性,35,39
13-01,忙,女性,60,64
13-01,再,女性,40,44
13-01,良,男性,30,34
13-01,忙,女性,35,39
13-01,耐,男性,80,84
13-01,楽,男性,60,64
13-01,独,女性,50,54
13-01,集,女性,50,54
13-01,楽,女性,35,39
13-01,定,男性,70,74
13-01,楽,男性,55,59
13-01,初,女性,45,49
13-01,静,女性,30,34
13-01,並,男性,40,44
13-01,粛,男性,70,74
13-01,並,女性,30,34
13-01,苦,男性,65,69
13-01,読,女性,50,54
13-01,新,女性,40,44
13-01,税,男性,55,59
13-01,八,男性,45,49
13-01,静,女性,65,69
13-01,躍,女性,45,49
13-01,忙,女性,35,39
13-01,静,女性,30,34
13-01,実,女性,55,59
13-01,同,男性,70,74
13-01,必,女性,30,34
13-01,疲,女性,55,59
13-01,寒,女性,50,54
13-01,裕,男性,50,54
13-01,耐,女性,50,54
13-01,節,女性,50,54
13-01,喜,女性,50,54
13-01,忍,男性,60,64
13-01,常,女性,45,49
13-01,怒,女性,40,44
13-01,悲,男性,65,69
13-01,寒,男性,75,79
13-01,同,男性,45,49
13-01,寒,女性,25,29
13-01,動,女性,50,54
13-01,並,男性,60,64
13-01,控,女性,40,44
13-01,楽,男性,70,74
13-01,苦,女性,40,44
13-01,忙,女性,40,44
13-01,良,女性,55,59
13-01,忙,女性,45,49
13-01,忙,女性,35,39
13-01,節,男性,55,59
13-01,耐,男性,35,39
13-01,楽,女性,45,49
13-01,備,女性,45,49
13-01,良,男性,25,29
13-01,簡,女性,45,49
13-01,走,女性,50,54
13-01,亜,女性,35,39
13-01,普,男性,45,49
13-01,寒,女性,35,39
13-01,働,女性,40,44
13-01,減,男性,45,49
13-01,祈,女性,40,44
13-01,苦,女性,65,69
13-01,寒,女性,50,54
13-01,進,女性,50,54
13-01,普,女性,40,44
13-01,定,女性,45,49
13-01,穏,女性,35,39
13-01,幸,女性,45,49
13-01,単,女性,50,54
13-01,窮,男性,40,44
13-01,冬,男性,55,59
13-01,怠,女性,30,34
13-01,良,女性,40,44
13-01,和,女性,45,49
13-01,窮,女性,70,74
13-01,耐,女性,25,29
13-01,普,女性,55,59
13-01,寒,女性,40,44
13-01,静,男性,50,54
13-01,痛,男性,50,54
13-01,寒,女性,45,49
13-01,愉,男性,80,84
13-01,節,女性,25,29
13-01,疲,女性,45,49
13-01,静,女性,35,39
13-01,金,女性,45,49
13-01,選,男性,40,44
13-01,育,男性,60,64
13-01,習,男性,65,69
13-01,低,女性,45,49
13-01,不,男性,40,44
13-01,忍,男性,60,64
13-01,寒,女性,30,34
13-01,活,男性,45,49
13-01,忍,女性,45,49
13-01,忍,女性,35,39
13-01,光,女性,55,59
13-01,寒,男性,55,59
13-01,中,女性,65,69
13-01,痛,女性,50,54
13-01,安,女性,50,54
13-01,楽,女性,35,39
13-01,忙,女性,45,49
13-01,慌,女性,45,49
13-01,再,女性,35,39
13-01,貧,男性,45,49
13-01,感,女性,30,34
13-01,疲,女性,30,34
13-01,忙,女性,60,64
13-01,早,女性,35,39
13-01,嬉,女性,45,49
13-01,節,女性,35,39
13-01,耐,男性,45,49
13-01,省,女性,55,59
13-01,寂,女性,65,69
13-01,耐,女性,35,39
13-01,楽,男性,70,74
13-01,忙,女性,60,64
13-01,無,女性,75,79
13-01,締,女性,55,59
13-01,疲,男性,50,54
13-01,平,女性,55,59
13-01,同,男性,65,69
13-01,忙,女性,35,39
13-01,疲,女性,40,44
13-01,遊,男性,45,49
13-01,走,男性,35,39
13-01,旅,女性,30,34
13-01,節,男性,60,64
13-01,寒,男性,35,39
13-01,忙,女性,40,44
13-01,素,男性,40,44
13-01,並,男性,40,44
13-01,病,女性,40,44
13-01,寒,女性,50,54
13-01,節,女性,50,54
13-01,普,男性,50,54
13-01,平,女性,55,59
13-01,普,女性,35,39
13-01,改,女性,45,49
13-01,寒,女性,45,49
13-01,出,女性,40,44
13-01,普,女性,35,39
13-01,穏,男性,60,64
13-01,忙,女性,55,59
13-01,動,女性,55,59
13-01,楽,女性,35,39
13-01,穏,男性,45,49
13-01,厳,男性,40,44
13-01,普,女性,40,44
13-01,凡,男性,30,34
13-01,寒,女性,50,54
13-01,痛,女性,45,49
13-01,楽,女性,45,49
13-01,貧,男性,60,64
13-01,困,男性,35,39
13-01,寒,男性,80,84
13-01,苦,男性,80,84
13-01,楽,女性,30,34
13-01,検,男性,45,49
13-01,並,男性,35,39
13-01,慣,女性,50,54
13-01,静,女性,50,54
13-01,忙,女性,40,44
13-01,普,男性,50,54
13-01,平,女性,50,54
13-01,静,男性,55,59
13-01,慎,女性,40,44
13-01,変,女性,45,49
13-01,忍,女性,35,39
13-01,継,男性,55,59
13-01,忘,女性,55,59
13-01,寒,女性,40,44
13-01,寒,女性,45,49
13-01,忍,男性,70,74
13-01,忙,男性,30,34
13-01,苦,男性,45,49
13-01,質,男性,35,39
13-01,控,女性,45,49
13-01,嘆,男性,75,79
13-01,耐,男性,45,49
13-01,幸,女性,25,29
13-01,動,男性,60,64
13-01,急,女性,50,54
13-01,普,男性,40,44
13-01,寒,男性,45,49
13-01,寒,男性,40,44
13-01,減,女性,50,54
13-01,忍,女性,55,59
13-01,平,女性,45,49
13-01,忍,男性,45,49
13-01,寒,女性,35,39
13-01,普,女性,35,39
13-01,常,女性,45,49
13-01,疲,女性,40,44
13-01,忍,男性,45,49
13-01,寒,女性,35,39
13-01,常,女性,65,69
13-01,耐,女性,50,54
13-01,続,男性,65,69
13-01,幸,女性,50,54
13-01,楽,男性,65,69
13-01,中,女性,60,64
13-01,穴,女性,55,59
13-01,楽,女性,35,39
13-01,常,男性,55,59
13-01,忙,女性,50,54
13-01,走,女性,35,39
13-01,耐,男性,50,54
13-01,忍,男性,35,39
13-01,忙,男性,30,34
13-01,移,女性,35,39
13-01,寒,男性,30,34
13-01,普,男性,50,54
13-01,上,男性,35,39
13-01,忍,女性,50,54
13-01,贅,女性,35,39
13-01,質,女性,30,34
13-01,動,女性,30,34
13-01,金,男性,55,59
13-01,労,女性,50,54
13-01,平,女性,65,69
13-01,普,女性,50,54
13-01,看,男性,35,39
13-01,楽,女性,40,44
13-01,短,女性,45,49
13-01,同,女性,50,54
13-01,忙,女性,50,54
13-01,怠,女性,35,39
13-01,買,女性,35,39
13-01,節,女性,55,59
13-01,友,男性,40,44
13-01,並,男性,40,44
13-01,並,女性,55,59
13-01,耐,女性,40,44
13-01,寒,女性,45,49
13-01,整,女性,45,49
13-01,忙,男性,45,49
13-01,病,女性,35,39
13-01,素,男性,45,49
13-01,忙,女性,45,49
13-01,凡,女性,50,54
13-01,穏,男性,70,74
13-01,変,女性,35,39
13-01,平,女性,40,44
13-01,平,女性,40,44
13-01,動,女性,25,29
13-01,圧,女性,50,54
13-01,忙,女性,60,64
13-01,軽,男性,60,64
13-01,楽,女性,40,44
13-01,慌,女性,50,54
13-01,静,男性,60,64
13-01,忙,女性,35,39
13-01,忙,男性,55,59
13-01,縮,女性,70,74
13-01,働,女性,40,44
13-01,寒,女性,45,49
13-01,変,女性,50,54
13-01,堅,女性,50,54
13-01,寒,男性,35,39
13-01,乱,女性,45,49
13-01,耐,男性,40,44
13-01,好,女性,30,34
13-01,中,男性,55,59
13-01,省,女性,50,54
13-01,忍,女性,55,59
13-01,忍,女性,40,44
13-01,忍,女性,35,39
13-01,減,女性,45,49
13-01,寒,女性,45,49
13-01,寒,女性,50,54
13-01,忙,女性,55,59
13-01,涼,女性,50,54
13-01,省,女性,60,64
13-01,激,女性,45,49
13-01,忙,女性,40,44
13-01,幸,女性,25,29
13-01,静,女性,40,44
13-01,出,女性,45,49
13-01,運,女性,45,49
13-01,望,女性,55,59
13-01,忙,女性,35,39
13-01,耐,女性,55,59
13-01,普,男性,60,64
13-01,忍,男性,60,64
13-01,期,男性,45,49
13-01,節,男性,55,59
13-01,急,女性,70,74
13-01,寒,男性,40,44
13-01,緩,男性,60,64
13-01,困,女性,50,54
13-01,穏,女性,35,39
13-01,幸,女性,25,29
13-01,一,男性,60,64
13-01,省,女性,50,54
13-01,寂,男性,55,59
13-01,冷,女性,30,34
13-01,無,女性,40,44
13-01,平,女性,50,54
13-01,忍,男性,35,39
13-01,忙,女性,40,44
13-01,無,男性,55,59
13-01,静,女性,55,59
13-01,平,男性,45,49
13-01,忍,女性,50,54
13-01,変,女性,45,49
13-01,爽,女性,55,59
13-01,健,男性,75,79
13-01,動,男性,40,44
13-01,凡,男性,40,44
13-01,並,女性,35,39
13-01,寒,女性,45,49
13-01,濃,女性,45,49
13-01,考,女性,50,54
13-01,疑,女性,40,44
13-01,運,男性,50,54
13-01,考,女性,55,59
13-01,変,女性,60,64
13-01,楽,男性,40,44
13-01,得,女性,30,34
13-01,悠,男性,60,64
13-01,忙,男性,55,59
13-01,忙,男性,50,54
13-01,会,女性,35,39
13-01,同,男性,50,54
13-01,家,女性,35,39
13-01,冷,女性,40,44
13-01,厳,女性,75,79
13-01,高,男性,80,84
13-01,充,男性,60,64
13-01,寒,女性,50,54
13-01,絆,男性,70,74
13-01,普,女性,25,29
13-01,疲,女性,50,54
13-01,寒,男性,45,49
13-01,忙,男性,60,64
13-01,楽,女性,40,44
13-01,無,女性,60,64
13-01,願,女性,65,69
13-01,愉,女性,35,39
13-01,忍,男性,50,54
13-01,倹,男性,30,34
13-01,冷,女性,65,69
13-01,平,女性,55,59
13-01,忙,女性,35,39
13-01,冷,男性,80,84
13-01,諦,女性,45,49
13-01,静,女性,70,74
13-01,変,女性,45,49
13-01,楽,女性,55,59
13-01,厳,女性,50,54
13-01,並,女性,60,64
13-01,普,男性,65,69
13-01,普,男性,45,49
13-01,忙,女性,45,49
13-01,寒,女性,55,59
13-01,忍,男性,80,84
13-01,忙,女性,45,49
13-01,平,女性,40,44
13-01,寒,男性,50,54
13-01,忙,女性,50,54
13-01,楽,女性,55,59
13-01,楽,女性,40,44
13-01,楽,女性,45,49
13-01,出,女性,50,54
13-01,省,女性,65,69
13-01,普,男性,35,39
13-01,困,男性,80,84
13-01,苦,女性,55,59
13-01,質,男性,40,44
13-01,楽,女性,60,64
13-01,耐,女性,45,49
13-01,暖,女性,40,44
13-01,控,女性,65,69
13-01,分,女性,50,54
13-01,平,女性,50,54
13-01,耐,男性,30,34
13-01,秋,女性,45,49
13-01,普,男性,40,44
13-01,常,女性,50,54
13-01,普,男性,55,59
13-01,静,女性,45,49
13-01,欠,男性,70,74
13-01,然,女性,45,49
13-01,普,男性,40,44
13-01,凡,男性,60,64
13-01,快,女性,35,39
13-01,貧,男性,70,74
13-01,耐,女性,50,54
13-01,絆,女性,50,54
13-01,忍,女性,50,54
13-01,良,女性,40,44
13-01,寒,女性,30,34
13-01,寒,男性,45,49
13-01,疲,女性,45,49
13-01,常,女性,50,54
13-01,変,女性,35,39
13-01,忍,男性,60,64
13-01,波,女性,35,39
13-01,控,男性,45,49
13-01,寒,女性,45,49
13-01,忙,男性,40,44
13-01,寒,女性,40,44
13-01,猫,男性,50,54
13-01,寒,女性,30,34
13-01,寒,男性,50,54
13-01,雲,女性,50,54
13-01,明,男性,50,54
13-01,忙,男性,60,64
13-01,点,男性,35,39
13-01,平,女性,30,34
13-01,普,男性,65,69
13-01,楽,男性,55,59
13-01,報,女性,50,54
13-01,籠,女性,30,34
13-01,忍,女性,60,64
13-01,楽,女性,50,54
13-01,忍,男性,55,59
13-01,銀,女性,35,39
13-01,忙,女性,75,79
13-01,跳,女性,50,54
13-01,実,女性,35,39
13-01,減,女性,55,59
13-01,漠,男性,60,64
13-01,忙,女性,50,54
13-01,楽,女性,40,44
13-01,新,女性,45,49
13-01,梵,男性,55,59
13-01,静,女性,60,64
13-01,楽,男性,55,59
13-01,温,女性,35,39
13-01,平,女性,50,54
13-01,楽,女性,40,44
13-01,節,女性,60,64
13-01,常,女性,35,39
13-01,粛,男性,65,69
13-01,寒,女性,50,54
13-01,希,女性,40,44
13-01,歩,女性,45,49
13-01,新,女性,50,54
13-01,会,女性,30,34
13-01,穏,女性,55,59
13-01,普,男性,30,34
13-01,忙,女性,45,49
13-01,集,女性,30,34
13-01,忙,女性,35,39
13-01,常,男性,80,84
13-01,忍,男性,60,64
13-01,忙,女性,50,54
13-01,寒,女性,60,64
13-01,淋,女性,60,64
13-01,怒,男性,75,79
13-01,寒,男性,50,54
13-01,子,女性,30,34
13-01,動,男性,75,79
13-01,内,女性,50,54
13-01,平,女性,65,69
13-01,忙,男性,50,54
13-01,静,女性,35,39
13-01,楽,女性,60,64
13-01,忙,女性,65,69
13-01,辛,女性,55,59
13-01,忙,男性,65,69
13-01,低,女性,35,39
13-01,静,男性,45,49
13-01,忙,女性,55,59
13-01,平,女性,35,39
13-01,穏,女性,40,44
13-01,元,男性,55,59
13-01,寒,女性,35,39
13-01,進,男性,50,54
13-01,閑,男性,60,64
13-01,堅,男性,40,44
13-01,寒,男性,65,69
13-01,淡,女性,45,49
13-01,楽,女性,35,39
13-01,楽,女性,30,34
13-01,忍,男性,55,59
13-01,厳,女性,50,54
13-01,静,女性,50,54
13-01,苦,女性,45,49
13-01,楽,女性,45,49
13-01,考,女性,45,49
13-01,暗,女性,45,49
13-01,楽,女性,30,34
13-01,普,男性,45,49
13-01,忍,女性,60,64
13-01,清,女性,60,64
13-01,苦,女性,45,49
13-01,苦,男性,50,54
13-01,節,女性,40,44
13-01,結,女性,25,29
13-01,貧,女性,40,44
13-01,病,女性,45,49
13-01,忙,女性,40,44
13-01,老,男性,70,74
13-01,苦,女性,55,59
13-01,穏,女性,55,59
13-01,素,女性,45,49
13-01,悠,女性,60,64
13-01,苦,女性,60,64
13-01,動,男性,50,54
13-01,平,女性,40,44
13-01,平,女性,40,44
13-01,同,女性,55,59
13-01,節,男性,60,64
13-01,普,男性,45,49
13-01,想,女性,50,54
13-01,気,女性,45,49
13-01,忍,女性,50,54
13-01,忍,女性,45,49
13-01,貧,女性,45,49
13-01,食,女性,45,49
13-01,平,男性,50,54
13-01,怠,女性,45,49
13-01,不,女性,35,39
13-01,控,女性,45,49
13-01,楽,女性,40,44
13-01,兆,女性,35,39
13-01,冬,女性,45,49
13-01,荒,女性,55,59
13-01,楽,男性,50,54
13-01,厳,男性,55,59
13-01,苦,女性,50,54
13-01,常,男性,60,64
13-01,忙,女性,50,54
13-01,節,男性,60,64
13-01,旅,女性,55,59
13-01,静,男性,40,44
13-01,忙,女性,50,54
13-01,静,女性,50,54
13-01,寒,男性,75,79
13-01,忙,女性,30,34
13-01,忍,男性,65,69
13-01,考,女性,35,39
13-01,普,男性,50,54
13-01,寒,女性,40,44
13-01,買,女性,35,39
13-01,省,女性,50,54
13-01,寒,女性,45,49
13-01,暖,女性,30,34
13-01,幸,女性,30,34
13-01,実,女性,45,49
13-01,並,男性,70,74
13-01,苦,男性,80,84
13-01,慌,女性,50,54
13-01,明,女性,55,59
13-01,寒,女性,30,34
13-01,変,女性,35,39
13-01,忙,女性,45,49
13-01,静,男性,65,69
13-01,混,女性,55,59
13-01,忙,女性,45,49
13-01,節,女性,55,59
13-01,忙,女性,45,49
13-01,静,女性,45,49
13-01,同,女性,35,39
13-01,冷,女性,50,54
13-01,平,女性,40,44
13-01,凡,女性,45,49
13-01,陰,男性,60,64
13-01,淡,男性,55,59
13-01,暗,女性,50,54
13-01,寒,男性,60,64
13-01,集,女性,50,54
13-01,友,男性,50,54
13-01,楽,男性,70,74
13-01,平,女性,40,44
13-01,応,男性,50,54
13-01,遊,女性,50,54
13-01,鍋,女性,40,44
13-01,倹,女性,60,64
13-01,安,男性,60,64
13-01,出,女性,45,49
13-01,新,女性,50,54
13-01,忍,女性,45,49
13-01,堅,男性,35,39
13-01,忙,女性,30,34
13-01,素,女性,35,39
13-01,寒,女性,30,34
13-01,忍,男性,65,69
13-01,楽,男性,60,64
13-01,行,女性,45,49
13-01,楽,女性,45,49
13-01,平,男性,50,54
13-01,忙,女性,45,49
13-01,忍,女性,45,49
13-01,続,女性,40,44
13-01,忙,女性,40,44
13-01,楽,男性,60,64
13-01,苦,男性,55,59
13-01,疲,女性,45,49
13-01,忙,女性,40,44
13-01,整,女性,40,44
13-01,普,男性,40,44
13-01,勤,男性,40,44
13-01,寒,男性,50,54
13-01,減,女性,40,44
13-01,苦,男性,60,64
13-01,望,男性,70,74
13-01,忍,男性,50,54
13-01,非,男性,60,64
13-01,緩,男性,45,49
13-01,幸,男性,60,64
13-01,動,女性,50,54
13-01,費,女性,40,44
13-01,並,女性,30,34
13-01,忍,男性,70,74
13-01,安,男性,40,44
13-01,変,女性,40,44
13-01,変,女性,30,34
13-01,向,女性,50,54
13-01,同,女性,45,49
13-01,病,男性,30,34
13-01,忍,女性,60,64
13-01,快,男性,60,64
13-01,耐,男性,65,69
13-01,同,女性,55,59
13-01,普,男性,45,49
13-01,穏,女性,45,49
13-01,密,女性,30,34
13-01,厳,女性,25,29
13-01,質,女性,50,54
13-01,常,男性,45,49
13-01,楽,男性,50,54
13-01,素,女性,60,64
13-01,変,男性,60,64
13-01,忍,男性,50,54
13-01,忙,女性,40,44
13-01,忍,男性,55,59
13-01,忍,女性,55,59
13-01,楽,女性,25,29
